Barrio;Año;Trismestre;Valor;Ambientes;Estado
Flores;2023;3;2251.11;2;Nuevo
Liniers;2023;3;2309.27;2;Nuevo
Mataderos;2023;3;2206.81;2;Nuevo
Monte Castro;2023;3;2220.72;2;Nuevo
Núñez;2023;3;2953.84;2;Nuevo
Palermo;2023;3;3339.25;2;Nuevo
Parque Chacabuco;2023;3;2214.17;2;Nuevo
Recoleta;2023;3;3377.26;2;Nuevo
Saavedra;2023;3;2516.16;2;Nuevo
San Cristóbal;2023;3;2044.47;2;Nuevo
Villa Crespo;2023;3;2531.72;2;Nuevo
Villa del Parque;2023;3;2272.68;2;Nuevo
Villa Devoto;2023;3;2495.87;2;Nuevo
Villa Luro;2023;3;2269.27;2;Nuevo
Villa Urquiza;2023;3;2697.86;2;Nuevo
Almagro;2023;4;2540.65;2;Nuevo
Balvanera;2023;4;2285.18;2;Nuevo
Belgrano;2023;4;3083.8;2;Nuevo
Boedo;2023;4;2190.97;2;Nuevo
Caballito;2023;4;2651.43;2;Nuevo
Coghlan;2023;4;2579.08;2;Nuevo
Colegiales;2023;4;2964.23;2;Nuevo
Flores;2023;4;2250.05;2;Nuevo
Liniers;2023;4;2257.33;2;Nuevo
Mataderos;2023;4;2255.36;2;Nuevo
Monte Castro;2023;4;2228.69;2;Nuevo
Núñez;2023;4;2975.85;2;Nuevo
Palermo;2023;4;3374.45;2;Nuevo
Parque Chacabuco;2023;4;2163.78;2;Nuevo
Recoleta;2023;4;3404.94;2;Nuevo
Saavedra;2023;4;2509.09;2;Nuevo
San Cristóbal;2023;4;1971.91;2;Nuevo
Villa Crespo;2023;4;2551.36;2;Nuevo
Villa del Parque;2023;4;2308.14;2;Nuevo
Villa Devoto;2023;4;2539.85;2;Nuevo
Villa Luro;2023;4;2329.88;2;Nuevo
Villa Urquiza;2023;4;2762.79;2;Nuevo
Almagro;2024;1;2550.4;2;Nuevo
Balvanera;2024;1;2358.81;2;Nuevo
Belgrano;2024;1;3293.16;2;Nuevo
Boedo;2024;1;2257.89;2;Nuevo
Caballito;2024;1;2803.26;2;Nuevo
Coghlan;2024;1;2667.72;2;Nuevo
Colegiales;2024;1;3101.85;2;Nuevo
Flores;2024;1;2360.54;2;Nuevo
Liniers;2024;1;2305.72;2;Nuevo
Mataderos;2024;1;2253.61;2;Nuevo
Monte Castro;2024;1;2158.49;2;Nuevo
Núñez;2024;1;3117.93;2;Nuevo
Palermo;2024;1;3459.27;2;Nuevo
Parque Chacabuco;2024;1;;2;Nuevo
Recoleta;2024;1;3499.29;2;Nuevo
Saavedra;2024;1;2526.02;2;Nuevo
San Cristóbal;2024;1;2154.08;2;Nuevo
Villa Crespo;2024;1;2771.5;2;Nuevo
Villa del Parque;2024;1;2296.36;2;Nuevo
Villa Devoto;2024;1;2529.46;2;Nuevo
Villa Luro;2024;1;2300.28;2;Nuevo
Villa Urquiza;2024;1;2735.72;2;Nuevo
Almagro;2024;2;2734.14;2;Nuevo
Balvanera;2024;2;2401.69;2;Nuevo
Belgrano;2024;2;3451.59;2;Nuevo
Boedo;2024;2;2237.61;2;Nuevo
Caballito;2024;2;2771.41;2;Nuevo
Coghlan;2024;2;2721.92;2;Nuevo
Colegiales;2024;2;3275.21;2;Nuevo
Flores;2024;2;2306.54;2;Nuevo
Liniers;2024;2;2293.41;2;Nuevo
Mataderos;2024;2;2120.02;2;Nuevo
Monte Castro;2024;2;2230.87;2;Nuevo
Núñez;2024;2;3276.4;2;Nuevo
Palermo;2024;2;3601;2;Nuevo
Parque Chacabuco;2024;2;2528.49;2;Nuevo
Recoleta;2024;2;3609.34;2;Nuevo
Saavedra;2024;2;2635.49;2;Nuevo
San Cristóbal;2024;2;2084.54;2;Nuevo
Villa Crespo;2024;2;2698.39;2;Nuevo
Villa del Parque;2024;2;2290.4;2;Nuevo
Villa Devoto;2024;2;2573.8;2;Nuevo
Villa Luro;2024;2;2400.21;2;Nuevo
Villa Urquiza;2024;2;2879.82;2;Nuevo
Almagro;2024;3;2704.79;2;Nuevo
Balvanera;2024;3;2439.33;2;Nuevo
Belgrano;2024;3;3669.99;2;Nuevo
Boedo;2024;3;2403.36;2;Nuevo
Caballito;2024;3;2877.5;2;Nuevo
