Barrio;Año;Trimestre;Valor;Ambientes;Estado
Balvanera;2021;1;1923.83;3;Usado
Barracas;2021;1;2292;3;Usado
Belgrano;2021;1;2923.63;3;Usado
Boca;2021;1;1719.89;3;Usado
Boedo;2021;1;2225.81;3;Usado
Caballito;2021;1;2452.67;3;Usado
Chacarita;2021;1;2282.19;3;Usado
Coghlan;2021;1;2867.01;3;Usado
Colegiales;2021;1;2791.99;3;Usado
Constitución;2021;1;1619.98;3;Usado
Flores;2021;1;2059.22;3;Usado
Floresta;2021;1;1940.66;3;Usado
Liniers;2021;1;2051.57;3;Usado
Mataderos;2021;1;1927.45;3;Usado
Monte Castro;2021;1;2240.96;3;Usado
Montserrat;2021;1;1879.06;3;Usado
Nueva Pompeya;2021;1;1556.58;3;Usado
Núñez;2021;1;2920.47;3;Usado
Palermo;2021;1;3006.38;3;Usado
Parque Avellaneda;2021;1;1550.17;3;Usado
Parque Chacabuco;2021;1;2316.62;3;Usado
Parque Patricios;2021;1;1743.24;3;Usado
Puerto Madero;2021;1;5305.47;3;Usado
Recoleta;2021;1;2916.12;3;Usado
Retiro;2021;1;2764.75;3;Usado
Saavedra;2021;1;2773.97;3;Usado
San Cristóbal;2021;1;1932.15;3;Usado
San Nicolás;2021;1;2027.48;3;Usado
San Telmo;2021;1;2052.03;3;Usado
Vélez Sarsfield;2021;1;1872.4;3;Usado
Villa Crespo;2021;1;2338.52;3;Usado
Villa del Parque;2021;1;2322.58;3;Usado
Villa Devoto;2021;1;2479.62;3;Usado
Villa Gral. Mitre;2021;1;2061.34;3;Usado
Villa Lugano;2021;1;1081.96;3;Usado
Villa Luro;2021;1;;3;Usado
Villa Ortúzar;2021;1;2731.72;3;Usado
Villa Pueyrredón;2021;1;2442.54;3;Usado
Villa Santa Rita;2021;1;2316.98;3;Usado
Villa Urquiza;2021;1;2828.57;3;Usado
Almagro;2021;2;2230.6;3;Usado
Balvanera;2021;2;1879.24;3;Usado
Barracas;2021;2;2248.94;3;Usado
Belgrano;2021;2;2836.58;3;Usado
Boca;2021;2;1638.35;3;Usado
Boedo;2021;2;2219.21;3;Usado
Caballito;2021;2;2422.66;3;Usado
Chacarita;2021;2;2393.75;3;Usado
Coghlan;2021;2;2784.83;3;Usado
Colegiales;2021;2;2707.68;3;Usado
Constitución;2021;2;1588.47;3;Usado
Flores;2021;2;1971.59;3;Usado
Floresta;2021;2;1901.61;3;Usado
Liniers;2021;2;2069.41;3;Usado
Mataderos;2021;2;1909.48;3;Usado
Monte Castro;2021;2;2264.17;3;Usado
Montserrat;2021;2;1863.89;3;Usado
Nueva Pompeya;2021;2;1580.24;3;Usado
Núñez;2021;2;2895.21;3;Usado
Palermo;2021;2;2939.05;3;Usado
Parque Avellaneda;2021;2;1564.92;3;Usado
Parque Chacabuco;2021;2;2210.29;3;Usado
Parque Patricios;2021;2;1852.76;3;Usado
Puerto Madero;2021;2;5195.16;3;Usado
Recoleta;2021;2;2789.28;3;Usado
Retiro;2021;2;2835.25;3;Usado
Saavedra;2021;2;2712.94;3;Usado
San Cristóbal;2021;2;1946.19;3;Usado
San Nicolás;2021;2;1975.25;3;Usado
San Telmo;2021;2;1991.81;3;Usado
Vélez Sarsfield;2021;2;1988.77;3;Usado
Villa Crespo;2021;2;2308.53;3;Usado
Villa del Parque;2021;2;2259.75;3;Usado
Villa Devoto;2021;2;2536.51;3;Usado
